sample,treatment,day,population,factor
CAS1_C1,Control,1,CAS,ctrl_day1
CAS2_C1,Control,1,CAS,ctrl_day1
CAS3_C1,Control,1,CAS,ctrl_day1
CAS_C0_1,Control,0,CAS,ctrl_day0
CAS_C0_2,Control,0,CAS,ctrl_day0
CAS_C0_3,Control,0,CAS,ctrl_day0
CAS_C2_1,Control,2,CAS,ctrl_day2
CAS_C2_2,Control,2,CAS,ctrl_day2
CAS_C2_3,Control,2,CAS,ctrl_day2
CAS_T0_1,Treatment,0,CAS,treat_day0
CAS_T0_2,Treatment,0,CAS,treat_day0
CAS_T0_3,Treatment,0,CAS,treat_day0
CAS_T1_2,Treatment,1,CAS,treat_day1
CAS_T1_3,Treatment,1,CAS,treat_day1
CAS_T1_4,Treatment,1,CAS,treat_day1
CAS_T2_1,Treatment,2,CAS,treat_day2
CAS_T2_2,Treatment,2,CAS,treat_day2
CAS_T2_3,Treatment,2,CAS,treat_day2
