SeqName,CAS1_C0,CAS2_C0,CAS3_C0,CAS1_T0,CAS2_T0,CAS3_T0
TRINITY_DN0_c0_g1,284.66,241.96,334.33,192.23,150.82,273.46
TRINITY_DN0_c11_g1,15.6,0,13.1,5.46,8.07,18.79
TRINITY_DN0_c1_g2,47.57,25.46,7.51,15.19,17.81,16.02
TRINITY_DN0_c1_g4,91.91,54.82,13.1,32.82,35.12,16.29
TRINITY_DN0_c1_g6,0,0,0,0,0,0
TRINITY_DN0_c2_g1,2423.07,1018.26,2268.2,3904.23,450.73,3095.5
TRINITY_DN0_c3_g1,1.24,0,0,0,0,0
TRINITY_DN0_c4_g1,102.75,238.66,160.03,215.37,80.97,179.24
TRINITY_DN0_c5_g1,45,56.72,44.8,86.59,39.21,61.56
TRINITY_DN100003_c0_g1,0,0,0,0,0,0
TRINITY_DN10000_c0_g1,0,0,0,0,0,0
TRINITY_DN10002_c0_g1,18.08,2.1,0,19.47,2.1,0
TRINITY_DN100030_c0_g1,18.93,5.69,3.84,0,0,3.94
TRINITY_DN10003_c0_g1,0.86,8.09,0,0,4.09,2.42
TRINITY_DN10003_c0_g2,3.14,0.9,0,0,1.99,0
TRINITY_DN10004_c0_g1,421.19,114.44,89.11,184.93,106.13,116.06
TRINITY_DN100055_c0_g1,0,0,0,0,0,0
TRINITY_DN100058_c0_g1,17.41,0,7.68,0,8.07,8.14
TRINITY_DN100065_c0_g1,0,0,0,0,0,0
TRINITY_DN100072_c0_g1,0,0,0,0,0,0
TRINITY_DN10007_c0_g4,0,0,0,0,0,0
TRINITY_DN100085_c0_g1,0,0,0,0,0,0
TRINITY_DN10008_c0_g1,0,0.5,0,1.01,1,0.18
TRINITY_DN100095_c0_g1,15.7,0,14.02,0,0,7.34
TRINITY_DN10009_c0_g1,1.33,1.2,0,0,7.52,3.76
TRINITY_DN1000_c1_g1,0,2.4,3.75,0,0,0.54
TRINITY_DN10010_c0_g1,1.24,0.7,0,0,0,0
TRINITY_DN100111_c0_g1,0,0,0,0,0,0
TRINITY_DN10011_c0_g1,0,0,0,0,0,0
TRINITY_DN100126_c0_g1,0,0.9,0,0,1,0
TRINITY_DN10012_c0_g1,0,0,0,0,0,0
TRINITY_DN10013_c1_g1,1.52,3,0,0,4.76,0.18
TRINITY_DN10013_c1_g2,7.9,0.9,2.25,2.79,1.44,3.04
TRINITY_DN10014_c0_g1,84.39,23.47,39.63,15.67,19.58,36.6
TRINITY_DN100153_c0_g1,0,0,0,0,0,0
TRINITY_DN10015_c0_g1,0,0,0,0,0.88,0.89
TRINITY_DN10016_c0_g1,83.44,33.75,86.27,20.59,27.71,19.6
TRINITY_DN100175_c0_g1,0,0,0,4.87,0,0
TRINITY_DN10017_c0_g1,0,0,0,0,0,0
TRINITY_DN100182_c0_g1,2.95,0,2.75,0,8.41,2.77
TRINITY_DN100189_c0_g1,0,0,0,14.42,0,0
TRINITY_DN10018_c1_g1,0,0,0,0,0,0.54
TRINITY_DN100198_c0_g1,0,0,0,6.23,0,0
TRINITY_DN1001_c0_g2,279.24,938.37,1074.99,363.27,275.47,1029.06
TRINITY_DN1001_c1_g1,1705.23,1423.89,2163.4,1448.51,697.28,2079.96
TRINITY_DN1001_c4_g1,265.35,28.06,19.36,119.05,32.52,43.31
TRINITY_DN100203_c0_g1,0,0,0,0,0,5.55
TRINITY_DN10020_c0_g1,1.52,0.5,1,0.47,0.5,0
TRINITY_DN100231_c0_g1,0,0,0,0,0,0
TRINITY_DN10023_c0_g1,0,0,0,0,0,0
TRINITY_DN100240_c0_g1,0,0,0,0,0,0
TRINITY_DN10024_c1_g2,0.67,0,0,0,0,0
TRINITY_DN100258_c0_g1,0,0,0,0,0,0
