SeqName,CAS1_C0,CAS2_C0,CAS3_C0,LOP1_C0,LOP2_C0,LOP5_C0
TRINITY_DN0_c0_g1,284.66,241.96,334.33,176.33,212.22,195.86
TRINITY_DN0_c11_g1,15.6,0,13.1,28.99,27.91,13.67
TRINITY_DN0_c1_g2,47.57,25.46,7.51,22.97,37.07,32.73
TRINITY_DN0_c1_g4,91.91,54.82,13.1,58.4,70.35,33.03
TRINITY_DN0_c1_g6,0,0,0,0,0,0
TRINITY_DN0_c2_g1,2423.07,1018.26,2268.2,1556.71,1338.83,985.01
TRINITY_DN0_c3_g1,1.24,0,0,0,1.05,0
TRINITY_DN0_c4_g1,102.75,238.66,160.03,100.28,170.36,139.97
TRINITY_DN0_c5_g1,45,56.72,44.8,24.51,56.92,82.79
TRINITY_DN100003_c0_g1,0,0,0,0,0,0
TRINITY_DN10000_c0_g1,0,0,0,0,0,0
TRINITY_DN10002_c0_g1,18.08,2.1,0,31.09,3.33,15.2
TRINITY_DN100030_c0_g1,18.93,5.69,3.84,4.27,12.38,4.04
TRINITY_DN10003_c0_g1,0.86,8.09,0,1085.42,5.55,6.99
TRINITY_DN10003_c0_g2,3.14,0.9,0,157.07,0,0
TRINITY_DN10004_c0_g1,421.19,114.44,89.11,135.15,154.89,166.81
TRINITY_DN100055_c0_g1,0,0,0,0,0,0
TRINITY_DN100058_c0_g1,17.41,0,7.68,8.75,0,8.21
TRINITY_DN100065_c0_g1,0,0,0,0,0,0
TRINITY_DN100072_c0_g1,0,0,0,0,0,0
TRINITY_DN10007_c0_g4,0,0,0,0,0,0
TRINITY_DN100085_c0_g1,0,0,0,0,0,0
TRINITY_DN10008_c0_g1,0,0.5,0,0,0,0
TRINITY_DN100095_c0_g1,15.7,0,14.02,0,0,52.09
TRINITY_DN10009_c0_g1,1.33,1.2,0,589,1.28,2.57
TRINITY_DN1000_c1_g1,0,2.4,3.75,0,2.34,1.29
TRINITY_DN10010_c0_g1,1.24,0.7,0,0.28,0.23,0.25
TRINITY_DN100111_c0_g1,0,0,0,0,0,0
TRINITY_DN10011_c0_g1,0,0,0,4.48,0,0
TRINITY_DN100126_c0_g1,0,0.9,0,83.89,0,0
TRINITY_DN10012_c0_g1,0,0,0,7.7,0,0
TRINITY_DN10013_c1_g1,1.52,3,0,1.89,0.82,2.14
TRINITY_DN10013_c1_g2,7.9,0.9,2.25,9.24,3.85,3.31
TRINITY_DN10014_c0_g1,84.39,23.47,39.63,30.95,25.51,23.23
TRINITY_DN100153_c0_g1,0,0,0,0,0,0
TRINITY_DN10015_c0_g1,0,0,0,0,0.93,0
TRINITY_DN10016_c0_g1,83.44,33.75,86.27,196.57,122.08,160.87
TRINITY_DN100175_c0_g1,0,0,0,0,0,0
TRINITY_DN10017_c0_g1,0,0,0,0,0,0
TRINITY_DN100182_c0_g1,2.95,0,2.75,3.01,11.68,2.88
TRINITY_DN100189_c0_g1,0,0,0,0,0,0
TRINITY_DN10018_c1_g1,0,0,0,0,0,0
TRINITY_DN100198_c0_g1,0,0,0,0,0,0
TRINITY_DN1001_c0_g2,279.24,938.37,1074.99,752.23,631.88,197.7
TRINITY_DN1001_c1_g1,1705.23,1423.89,2163.4,609.94,1110.97,1395.98
TRINITY_DN1001_c4_g1,265.35,28.06,19.36,47.13,68.02,91.8
TRINITY_DN100203_c0_g1,0,0,0,0,0,11.21
TRINITY_DN10020_c0_g1,1.52,0.5,1,6.37,0,0.49
TRINITY_DN100231_c0_g1,0,0,0,0,0,0
TRINITY_DN10023_c0_g1,0,0,0,1.33,0,0
TRINITY_DN100240_c0_g1,0,0,0,0,0,0
TRINITY_DN10024_c1_g2,0.67,0,0,1.61,1.23,0.61
TRINITY_DN100258_c0_g1,0,0,0,0,0,0
TRINITY_DN10025_c1_g1,332.62,278.41,344.84,338.02,280,451.72
TRINITY_DN100261_c0_g1,0,0,1.33,8.82,0,0
TRINITY_DN100261_c0_g3,0,0,0,15.62,0,0
TRINITY_DN100261_c3_g1,0,0,0,6.72,0,0
TRINITY_DN10026_c0_g1,0,0,0,0,0,0
TRINITY_DN100270_c0_g1,35.11,27.76,16.02,19.4,32.4,11.71
TRINITY_DN100273_c0_g1,0,0,0,31.86,0,0
TRINITY_DN10027_c1_g1,1.9,0.9,0.92,0,0.93,0
TRINITY_DN100285_c0_g1,0,0,0,0,0,0
TRINITY_DN100287_c0_g1,0,0,0,0,0,0
TRINITY_DN100294_c0_g1,0,0,0,0,0,0
TRINITY_DN100296_c0_g2,0,0,0,0,0,0
TRINITY_DN100297_c0_g1,0,0,0,17.09,0,0
TRINITY_DN10029_c0_g1,0,0,0,277.8,3.15,0
TRINITY_DN1002_c0_g1,67.27,34.35,27.03,119.89,232.66,29.23
TRINITY_DN100307_c0_g1,0,0,0,0,0,0
TRINITY_DN100310_c0_g1,0,0,0,0,0,2.27
TRINITY_DN100314_c0_g2,0,0,0,0,0,0
TRINITY_DN10031_c0_g1,237.38,138.6,34.63,117.02,115.89,57.73
TRINITY_DN100322_c0_g1,3.81,6.89,0,0,0,11.4
TRINITY_DN100327_c0_g1,0,0,0,15.62,0,0
TRINITY_DN100331_c0_g1,6.47,0,0,0,0,37.02
TRINITY_DN100336_c0_g1,0,0,0,9.59,0,0
TRINITY_DN10033_c0_g1,0,0,0,0,0,0
TRINITY_DN10033_c1_g2,0,0,0,0,0,11.89
TRINITY_DN100348_c0_g1,0,0,0,0,0,0
TRINITY_DN10034_c0_g1,0,0,0,640.26,0,0
TRINITY_DN100354_c0_g1,0,0,0,0,0,0
TRINITY_DN10036_c0_g1,0,0.7,0,0,0,0
TRINITY_DN100381_c0_g1,3.52,6.49,0,0,0,0
TRINITY_DN100381_c2_g1,21.41,6.49,31.79,7.21,6.95,6.74
TRINITY_DN100383_c0_g1,0,0,0,0,0,0
TRINITY_DN100384_c0_g1,0,0,0,0,0,0
TRINITY_DN10039_c0_g1,44.62,235.17,78.1,2076.52,109.12,295.88
TRINITY_DN1003_c0_g1,1553,1752.02,1218.33,933.67,1201.69,1484.29
TRINITY_DN100412_c0_g1,0,0,0,5.11,0,0
TRINITY_DN100416_c0_g1,0,0,0,0,0,0
TRINITY_DN100419_c0_g1,104.18,69.8,38.88,64.43,69.3,48.29
TRINITY_DN100425_c0_g1,17.89,14.48,0,0,0,0
TRINITY_DN10046_c0_g1,3.14,1.8,0,1.19,0.53,0.74
TRINITY_DN10047_c0_g1,415.39,165.37,423.19,192.08,106.96,172.21
TRINITY_DN100482_c0_g1,0,0,0,0,0,0
TRINITY_DN100482_c0_g2,0,0,0,0,0,0
TRINITY_DN100496_c0_g1,0,0,0,0,0,0
TRINITY_DN10049_c0_g1,0,0,0,0,0,0
TRINITY_DN10049_c0_g2,6.66,0.7,0,0.77,1.46,5.76
