,treatment,day,population,factor
CAS1_C0,Control,T0,Shallow,CAS_ctrl_day0
CAS1_C1,Control,T5,Shallow,CAS_ctrl_day1
CAS1_C2,Control,T10,Shallow,CAS_ctrl_day2
CAS1_T0,Treatment,T0,Shallow,CAS_treat_day0
CAS1_T2,Treatment,T10,Shallow,CAS_treat_day2
CAS2_C0,Control,T0,Shallow,CAS_ctrl_day0
CAS2_C1,Control,T5,Shallow,CAS_ctrl_day1
CAS2_C2,Control,T10,Shallow,CAS_ctrl_day2
CAS2_T0,Treatment,T0,Shallow,CAS_treat_day0
CAS2_T1,Treatment,T5,Shallow,CAS_treat_day1
CAS2_T2,Treatment,T10,Shallow,CAS_treat_day2
CAS3_C0,Control,T0,Shallow,CAS_ctrl_day0
CAS3_C1,Control,T5,Shallow,CAS_ctrl_day1
CAS3_C2,Control,T10,Shallow,CAS_ctrl_day2
CAS3_T0,Treatment,T0,Shallow,CAS_treat_day0
CAS3_T1,Treatment,T5,Shallow,CAS_treat_day1
CAS3_T2,Treatment,T10,Shallow,CAS_treat_day2
CAS4_T1,Treatment,T5,Shallow,CAS_treat_day1
