,CAS1_C0,CAS2_C0,CAS3_C0,LOP1_C0,LOP2_C0,LOP5_C0
CORRUBR2A000001,10,11,5,0,6,1
CORRUBR2A000005,4796,819,1316,255,874,337
CORRUBR2A000007,1861,1175,961,796,845,753
CORRUBR2A000009,0,8,26,56,0,0
CORRUBR2A000012,516,716,280,495,519,660
CORRUBR2A000014,646,222,116,208,288,133
CORRUBR2A000015,28,19,13,14,19,8
CORRUBR2A000016,0,0,0,51,0,7
CORRUBR2A000017,26,4,8,2,5,5
CORRUBR2A000023,798,568,391,1000,798,683
CORRUBR2A000027,768,484,210,254,246,191
CORRUBR2A000028,49,47,22,27,37,27
CORRUBR2A000030,0,0,0,0,7,0
CORRUBR2A000034,0,3,2,32,0,2
CORRUBR2A000037,16,1,7,6,23,11
CORRUBR2A000038,448,313,280,181,249,278
CORRUBR2A000039,1039,1206,1190,430,528,742
CORRUBR2A000040,1,20,14,0,11,8
CORRUBR2A000041,902,299,275,202,275,234
CORRUBR2A000042,236,181,146,27,160,159
CORRUBR2A000043,477,114,58,78,73,42
CORRUBR2A000045,901,369,592,310,329,290
CORRUBR2A000046,11,13,34,28,47,80
CORRUBR2A000047,585,241,148,181,243,228
CORRUBR2A000049,914,1085,1267,501,312,278
CORRUBR2A000050,117,54,30,31,51,56
CORRUBR2A000056,222,153,99,87,172,90
CORRUBR2A000057,74,69,63,40,45,33
CORRUBR2A000058,97,97,102,64,78,117
CORRUBR2A000062,491,779,352,749,935,723
CORRUBR2A000063,8,22,3,10,7,21
CORRUBR2A000064,283,198,311,184,158,179
CORRUBR2A000066,56,13,5,18,10,17
CORRUBR2A000067,58,104,22,134,68,79
CORRUBR2A000068,16,10,18,25,24,27
CORRUBR2A000076,3119,2898,1108,1830,3075,2248
CORRUBR2A000077,472,212,334,73,199,155
CORRUBR2A000080,259,256,97,93,235,81
CORRUBR2A000082,88,107,32,163,119,108
CORRUBR2A000086,63,29,22,2,31,18
CORRUBR2A000087,2261,1658,2276,1070,1163,1215
